Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Honda Ridgeline RTS,Honda,2017,"$24,700","23,260",Silver,Black,Automatic,AWD
2018 Volvo S90 T5 Momentum,Volvo,2018,"$27,598","13,956",Black,Other,Automatic,AWD
2017 Audi S7 4.0T Premium Plus,Audi,2017,"$38,228","56,337",Gray,Black,Automatic,AWD
2010 Acura TL 3.5,Acura,2010,"$8,900","77,990",White,Beige,Automatic,FWD
2017 Cadillac CT6 3.6L Standard,Cadillac,2017,"$29,900","26,013",White,Beige,Automatic,AWD
2017 BMW 440 Gran Coupe i xDrive,BMW,2017,"$26,750","23,851",Black,Black,Automatic,AWD
2019 Ford Transit-350 XLT,Ford,2019,"$27,250","16,686",Black,Black,Automatic,RWD
2017 BMW 430 Gran Coupe i xDrive,BMW,2017,"$20,980","50,102",White,Black,Automatic,AWD
2016 Hyundai Tucson SE,Hyundai,2016,"$13,990","40,309",Gray,Black,Automatic,AWD
2014 Nissan Sentra SR,Nissan,2014,"$5,995","85,333",Red,Gray,CVT,FWD
2018 Nissan Kicks SV,Nissan,2018,"$14,800","15,453",Gray,Gray,CVT,FWD
2010 Toyota Yaris Base,Toyota,2010,"$5,699","63,805",Blue,Gray,Automatic,FWD
2018 Dodge Journey GT,Dodge,2018,"$16,500","40,277",Gray,Other,Automatic,FWD
2017 Lincoln MKZ Reserve,Lincoln,2017,"$24,995","24,724",Silver,Black,Automatic,AWD
2015 Mercedes-Benz CLA 250,Mercedes-Benz,2015,"$12,700","53,916",Other,Other,Automatic,FWD
2018 GMC Sierra 1500 Base,GMC,2018,"$16,032","18,169",White,Gray,Automatic,RWD
2002 Chevrolet TrailBlazer LT,Chevrolet,2002,"$6,800","62,000",Black,Beige,Automatic,4x4/4-wheel drive
2008 Saturn Sky Red Line,Saturn,2008,"$11,998","46,293",Yellow,Black,Manual,RWD
2009 Saturn Sky,Saturn,2009,"$13,998","20,044",Yellow,Black,Automatic,RWD
2018 Dodge Grand Caravan SXT,Dodge,2018,"$13,380","58,340",White,Black,Automatic,FWD
2016 Honda Civic Touring,Honda,2016,"$12,999","60,726",Black,Other,CVT,FWD
2016 Hyundai Elantra SE,Hyundai,2016,"$7,000","119,381",Black,Beige,Automatic,FWD
2018 BMW 540 i xDrive,BMW,2018,"$29,995","54,113",Black,Beige,Automatic,AWD
2018 Dodge Grand Caravan SXT,Dodge,2018,"$16,495","45,145",Silver,Black,Automatic,FWD
2015 Nissan Altima 2.5 SV,Nissan,2015,"$9,916","49,018",Black,Gray,CVT,FWD
2018 Dodge Journey SE,Dodge,2018,"$14,888","44,653",Red,Black,Automatic,FWD
2009 Chevrolet Traverse LT,Chevrolet,2009,"$5,995","129,619",White,Black,Automatic,AWD
2017 Dodge Journey Crossroad,Dodge,2017,"$14,900","44,716",Gray,Black,Automatic,FWD
2017 Ford Fusion SE,Ford,2017,"$11,999","38,123",Black,Black,Automatic,AWD
2008 Saturn Vue XE,Saturn,2008,"$4,995","83,035",Black,Gray,Automatic,FWD
2014 Lexus GS 350 Base,Lexus,2014,"$18,800","52,000",White,Red,Automatic,AWD
2010 Ford Transit Connect XLT,Ford,2010,"$5,800","112,908",White,Black,Automatic,FWD
2017 Volkswagen Golf Alltrack TSI SE,Volkswagen,2017,"$16,500","31,467",Gray,Black,Automatic,AWD
2015 Mitsubishi Mirage DE,Mitsubishi,2015,"$7,010","47,461",Silver,Black,Manual,FWD
2017 Nissan Armada SV,Nissan,2017,"$21,390","44,561",Gray,Gray,Automatic,RWD
2017 Buick Enclave Convenience,Buick,2017,"$19,995","35,960",White,Gray,Automatic,FWD
2017 Nissan Maxima 3.5 SV,Nissan,2017,"$17,595","28,523",White,Gray,CVT,FWD
2009 Nissan Murano SL,Nissan,2009,"$3,999","118,241",Gray,Black,CVT,AWD
2015 Audi A8 L 3.0T,Audi,2015,"$21,895","65,577",Silver,Other,Automatic,AWD
2016 BMW 535 i xDrive,BMW,2016,"$25,277","45,446",White,Black,Automatic,AWD
2019 Honda Civic Type R Touring,Honda,2019,"$32,895","5,810",Gray,Black,Manual,FWD
2018 Kia Forte LX,Kia,2018,"$12,277","5,330",Blue,Black,Automatic,FWD
2015 BMW 650 Gran Coupe i xDrive,BMW,2015,"$26,895","54,258",Black,Black,Automatic,AWD
2011 BMW 335 i xDrive,BMW,2011,"$5,895","102,447",Black,Black,Automatic,AWD
2012 BMW 550 i xDrive,BMW,2012,"$16,895","53,206",Black,Black,Automatic,AWD
2011 Kia Sportage SX,Kia,2011,"$8,895","60,692",Gray,Black,Automatic,AWD
2019 Volkswagen Atlas 3.6L SE w/Technology,Volkswagen,2019,"$26,999","26,671",Black,Black,Automatic,AWD
2013 Honda Odyssey EX-L,Honda,2013,"$13,132","37,411",Gray,Gray,Automatic,FWD
2016 Buick LaCrosse Sport Touring,Buick,2016,"$22,888","12,054",Red,Beige,Automatic,FWD
2013 Hyundai Elantra GLS,Hyundai,2013,"$6,300","79,568",White,Beige,Automatic,FWD
2020 Hyundai Sonata Limited,Hyundai,2020,"$29,995",14,Silver,Black,Automatic,FWD
2005 Ford Expedition Eddie Bauer,Ford,2005,"$2,955","182,294",White,Beige,Automatic,4x4/4-wheel drive
2019 Acura ILX Technology & A-Spec,Acura,2019,"$24,977","4,923",Blue,Red,Automatic,FWD
2017 Nissan Pathfinder SV,Nissan,2017,"$20,968","26,468",Gray,Gray,CVT,4x4/4-wheel drive
2018 Dodge Grand Caravan SXT,Dodge,2018,"$12,995","42,167",Gray,Black,Automatic,FWD
2018 Dodge Durango SRT,Dodge,2018,"$43,950","25,332",Black,Black,Automatic,AWD
2016 Lexus IS 200t Base,Lexus,2016,"$20,986","4,024",Silver,Black,Automatic,RWD
2018 Lexus NX 300 300,Lexus,2018,"$25,888","37,730",Silver,Beige,Automatic,AWD
2018 Kia Soul +,Kia,2018,"$9,488","42,870",Red,Gray,Automatic,FWD
2017 BMW 740 i,BMW,2017,"$32,900","26,321",White,Black,Automatic,RWD
2016 Ford Explorer Limited,Ford,2016,"$18,990","51,065",Black,Black,Automatic,4x4/4-wheel drive
