Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2015 Hyundai Tucson Limited,Hyundai,2015,"$15,106","65,402",White,Brown,Automatic,AWD
2015 RAM 3500 Laramie,RAM,2015,"$42,999","91,669",Black,Black,Manual,4x4/4-wheel drive
2013 BMW 320 i xDrive,BMW,2013,"$13,995","58,945",Silver,Black,Automatic,AWD
2013 Honda Fit Base,Honda,2013,"$8,595","85,449",White,Gray,Automatic,FWD
2016 Volkswagen e-Golf SE,Volkswagen,2016,"$15,750","12,470",Blue,Black,Automatic,FWD
2016 Nissan Rogue S,Nissan,2016,"$13,030","50,265",Silver,Gray,CVT,FWD
2019 Toyota Camry LE,Toyota,2019,"$16,997","15,996",White,Other,Automatic,FWD
2019 MINI Hardtop Cooper S,MINI,2019,"$20,280","15,608",Gray,Black,Manual,FWD
2007 Volvo XC90 3.2,Volvo,2007,"$6,980","142,464",Gray,Black,Automatic,AWD
2016 BMW X5 xDrive50i,BMW,2016,"$39,990","31,271",Gray,Brown,Automatic,AWD
2009 Volvo C30,Volvo,2009,"$9,980","83,013",Red,Black,Manual,FWD
2014 Honda Accord LX-S,Honda,2014,"$10,789","86,858",Black,Black,Manual,FWD
2011 Ford F-150 SVT Raptor,Ford,2011,"$33,994","56,481",Orange,Orange,Automatic,4x4/4-wheel drive
2009 Acura RDX,Acura,2009,"$7,995","138,622",White,Beige,Automatic,AWD
2013 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2013,"$14,988","74,551",Silver,Black,Automatic,AWD
2013 Chrysler 200 LX,Chrysler,2013,"$5,800","99,861",Red,Black,Automatic,FWD
2017 Land Rover Range Rover Evoque SE Premium,Land,2017,"$36,900","28,157",Black,Black,Automatic,4x4/4-wheel drive
2010 Acura RDX Base,Acura,2010,"$13,988","72,856",White,Beige,Automatic,AWD
2016 Audi A8 L 4.0T,Audi,2016,"$40,880","35,180",Black,Black,Automatic,AWD
2017 Jaguar XE 35t R-Sport,Jaguar,2017,"$34,900","21,089",Silver,Other,Automatic,AWD
2015 Chrysler 200 Limited,Chrysler,2015,"$8,800","84,194",Silver,Black,Automatic,FWD
2017 Jaguar F-TYPE S British Design Edition,Jaguar,2017,"$58,900","19,644",Red,Red,Automatic,AWD
2017 Toyota Corolla SE,Toyota,2017,"$14,666","49,218",Black,Other,CVT,FWD
2014 Chevrolet Malibu 1LS,Chevrolet,2014,"$9,488","62,235",Beige,Gray,Automatic,FWD
2011 Ford Focus SEL,Ford,2011,"$6,800","74,299",Red,Black,Automatic,FWD
2017 Audi A4 2.0T Premium,Audi,2017,"$14,991","92,936",Black,Black,Automatic,FWD
2014 Jeep Wrangler Unlimited Rubicon,Jeep,2014,"$31,900","56,244",Silver,Black,Automatic,4x4/4-wheel drive
2017 Toyota Yaris iA Base,Toyota,2017,"$12,542","30,390",White,Blue,Other / Unknown,FWD
2017 GMC Acadia SLE-1,GMC,2017,"$19,991","29,126",White,Black,Automatic,FWD
2012 Kia Soul Base,Kia,2012,"$6,991","99,743",Green,Black,Automatic,FWD
2016 Honda Fit LX,Honda,2016,"$13,316","18,708",White,Black,CVT,FWD
2019 Ford Escape SE,Ford,2019,"$20,885","16,747",Gray,Gray,Automatic,4x4/4-wheel drive
2007 BMW X3 3.0si,BMW,2007,"$5,888","132,575",Silver,Black,Automatic,AWD
2010 Volvo V50 2.4i 4dr Wagon,Volvo,2010,"$10,995","83,077",Gray,Black,Automatic,FWD
2014 Jeep Cherokee Latitude,Jeep,2014,"$13,997","54,149",Gray,Black,Automatic,FWD
