Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2014 Volkswagen CC 2.0T Sport,Volkswagen,2014,"$11,500","45,772",Blue,Black,Automatic,FWD
2019 Toyota C-HR LE,Toyota,2019,"$19,655","10,535",Black,Black,Automatic,FWD
2019 Chevrolet Traverse LS,Chevrolet,2019,"$33,582","11,339",Black,Black,Automatic,FWD
2016 Ford Edge SE,Ford,2016,"$12,888","60,873",Blue,Black,Automatic,FWD
2017 Kia Sorento EX,Kia,2017,"$20,995","24,125",Gray,Black,Automatic,FWD
2019 Kia Rio S,Kia,2019,"$13,950","12,193",Gray,Black,Automatic,FWD
2017 Hyundai Santa Fe Sport 2.4L,Hyundai,2017,"$14,774","39,541",Black,Gray,Automatic,FWD
2016 Chevrolet Colorado Z71,Chevrolet,2016,"$25,995","30,766",White,Black,Automatic,RWD
2018 Nissan Versa 1.6 SV,Nissan,2018,"$9,499","44,787",Gray,Gray,CVT,FWD
2015 Ford Transit-150 Base,Ford,2015,"$14,980","123,798",White,Gray,Automatic,RWD
2019 Mazda CX-3 Touring,Mazda,2019,"$19,775","5,102",Red,Black,Automatic,FWD
2017 Kia Sorento LX,Kia,2017,"$13,491","54,505",Gray,Black,Automatic,FWD
2004 INFINITI FX35,INFINITI,2004,"$8,999","130,629",Black,Black,Automatic,RWD
2018 Dodge Grand Caravan SXT,Dodge,2018,"$19,624","54,758",Black,Black,Automatic,FWD
2018 Nissan Altima 2.5 SV,Nissan,2018,"$14,000","41,743",Silver,Gray,CVT,FWD
2018 Toyota RAV4 LE,Toyota,2018,"$16,888","42,326",Gray,Black,Automatic,FWD
