Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2015 Lexus IS 350 Base,Lexus,2015,"$23,977","49,431",White,Black,Automatic,AWD
2017 INFINITI QX60 Base,INFINITI,2017,"$25,600","45,349",Black,Gray,CVT,AWD
2016 Dodge Journey Crossroad,Dodge,2016,"$12,750","70,910",Gray,Black,Automatic,FWD
2017 Buick Encore Preferred II,Buick,2017,"$14,530","33,761",White,Black,Automatic,FWD
2018 Hyundai Santa Fe Sport 2.4L,Hyundai,2018,"$13,221","42,775",Silver,Gray,Automatic,FWD
2018 Toyota Camry SE,Toyota,2018,"$18,999","19,966",Silver,Black,Automatic,FWD
2018 Toyota Sienna XLE Premium,Toyota,2018,"$29,829","13,335",Black,Gray,Automatic,FWD
2009 Mercedes-Benz G 550 4MATIC,Mercedes-Benz,2009,"$36,493","103,504",Black,Black,Automatic,AWD
2016 Porsche Cayenne S,Porsche,2016,"$34,990","60,391",White,Black,Automatic,AWD
2017 Hyundai Sonata Limited,Hyundai,2017,"$15,061","28,922",Blue,Gray,Automatic,FWD
2019 Cadillac XTS Luxury,Cadillac,2019,"$23,400","33,440",Red,Black,Automatic,FWD
2015 Lincoln MKX Base,Lincoln,2015,"$20,056","41,379",Black,Black,Automatic,AWD
2019 Hyundai Tucson SE,Hyundai,2019,"$17,888","22,136",Blue,Black,Automatic,AWD
2019 Chrysler Pacifica Touring-L Plus,Chrysler,2019,"$36,268","3,708",Black,Black,Automatic,FWD
2017 Chevrolet Silverado 1500 WT,Chevrolet,2017,"$23,578","43,470",Black,Gray,Automatic,4x4/4-wheel drive
2019 Kia Sorento L,Kia,2019,"$17,895","15,695",Silver,Black,Automatic,FWD
2018 Ford Explorer XLT,Ford,2018,"$29,979","26,600",Black,Black,Automatic,4x4/4-wheel drive
2009 Acura RL 3.7,Acura,2009,"$8,991","102,214",Green,Black,Automatic,AWD
2019 Kia Forte LXS,Kia,2019,"$13,000","25,989",Red,Black,CVT,FWD
2017 Acura ILX Base,Acura,2017,"$15,998","31,942",Black,Black,Automatic,FWD
2019 Hyundai Kona SE,Hyundai,2019,"$15,784","11,246",Black,Black,Automatic,AWD
2015 Buick Encore Convenience,Buick,2015,"$10,518","64,467",Black,Black,Automatic,FWD
2006 INFINITI G35x Base,INFINITI,2006,"$3,941","152,086",Black,Gray,Automatic,AWD
2012 Chevrolet Express 2500 Work Van,Chevrolet,2012,"$9,999","92,641",White,Gray,Automatic,RWD
2017 Jeep Grand Cherokee Altitude,Jeep,2017,"$22,800","57,553",Gray,Black,Automatic,4x4/4-wheel drive
2018 Audi Q5 2.0T Premium,Audi,2018,"$24,380","41,588",Silver,Black,Automatic,AWD
2019 BMW X5 xDrive40i,BMW,2019,"$55,994","15,756",Beige,Brown,Automatic,AWD
2016 Volkswagen Tiguan R-Line,Volkswagen,2016,"$13,900","52,304",Blue,Black,Automatic,FWD
2017 Volvo S90 T6 Momentum,Volvo,2017,"$26,740","22,583",Black,Gray,Automatic,AWD
2018 Dodge Durango SXT,Dodge,2018,"$24,702","22,375",Black,Black,Automatic,AWD
2016 Jeep Grand Cherokee Laredo,Jeep,2016,"$17,990","56,610",Gray,Black,Automatic,4x4/4-wheel drive
2019 Volkswagen Golf Alltrack TSI SE,Volkswagen,2019,"$24,528","3,820",White,Beige,Automatic,AWD
2019 Volkswagen Jetta 1.4T SE,Volkswagen,2019,"$17,305","16,794",Gray,Black,Automatic,FWD
2019 Chevrolet Equinox 1LT,Chevrolet,2019,"$16,900","29,299",Gray,Black,Automatic,FWD
2017 Chevrolet Traverse 1LT,Chevrolet,2017,"$18,671","40,501",Black,Black,Automatic,FWD
2014 Mazda Mazda6 i Touring,Mazda,2014,"$9,950","74,954",White,Black,Automatic,FWD
2019 Ford Escape SE,Ford,2019,"$21,188","17,446",Black,Other,Automatic,4x4/4-wheel drive
2019 Acura MDX 3.5L w/Advance & Entertainment Pkgs,Acura,2019,"$42,988","15,032",Gray,Black,Automatic,AWD
2017 Toyota Camry LE,Toyota,2017,"$14,991","36,720",Black,Gray,Automatic,FWD
2014 GMC Acadia Denali,GMC,2014,"$18,206","65,512",White,Beige,Automatic,AWD
2011 Ford Taurus Limited,Ford,2011,"$8,704","69,927",Blue,Gray,Automatic,FWD
2015 Buick Enclave Leather,Buick,2015,"$12,492","125,932",Gray,Black,Automatic,FWD
2019 Lincoln MKT Reserve,Lincoln,2019,"$33,489","24,892",Silver,Black,Automatic,AWD
2016 Lexus ES 350 Base,Lexus,2016,"$23,480","27,189",Gray,Black,Automatic,FWD
2017 Nissan Sentra SV,Nissan,2017,"$10,980","45,962",Gray,Gray,CVT,FWD
2020 Nissan Maxima 3.5 SV,Nissan,2020,"$23,728","8,400",Silver,Gray,CVT,FWD
2019 Volkswagen Passat 2.0T Wolfsburg Edition,Volkswagen,2019,"$18,992","8,523",Red,Black,Automatic,FWD
2005 Chevrolet Avalanche 1500 LS,Chevrolet,2005,"$6,450","113,670",Blue,Gray,Automatic,RWD
