Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2017 Lexus IS 300,Lexus,2017,"$23,690","25,628",Silver,Black,Automatic,AWD
2014 Ford Focus SE,Ford,2014,"$6,990","88,744",Gray,Black,Other / Unknown,FWD
2017 Genesis G80 3.8,Genesis,2017,"$25,894","36,436",White,Gray,Automatic,AWD
2013 Volkswagen CC 2.0T Sport Plus,Volkswagen,2013,"$7,997","99,342",Black,Black,Automatic,FWD
2013 Hyundai Elantra GLS,Hyundai,2013,"$8,995","32,762",Silver,Gray,Automatic,FWD
2018 Subaru Outback 2.5i Limited,Subaru,2018,"$23,998","18,815",Green,White,CVT,AWD
2018 Subaru Outback 2.5i Limited,Subaru,2018,"$22,998","23,060",White,Black,CVT,AWD
2018 Chevrolet Colorado WT,Chevrolet,2018,"$23,463","12,243",Silver,Black,Automatic,4x4/4-wheel drive
2018 Subaru WRX STI Base,Subaru,2018,"$35,998","3,434",White,Black,Manual,AWD
2014 Hyundai Elantra SE,Hyundai,2014,"$6,827","97,237",Silver,Gray,Automatic,FWD
2018 Subaru Outback 2.5i Premium,Subaru,2018,"$20,998","17,908",Black,Black,CVT,AWD
2015 Dodge Grand Caravan SXT,Dodge,2015,"$8,281","110,806",Gray,Black,Automatic,FWD
2018 Audi Q5 2.0T Premium Plus,Audi,2018,"$24,995","46,504",Black,Black,Automatic,AWD
2016 GMC Acadia SLE-2,GMC,2016,"$18,997","38,510",Blue,Black,Automatic,AWD
2012 Ford Flex SE,Ford,2012,"$7,995","89,998",Silver,Black,Automatic,FWD
2016 Chrysler Town & Country Touring,Chrysler,2016,"$14,351","50,153",Silver,Black,Automatic,FWD
2016 Nissan NV200 S,Nissan,2016,"$8,995","95,320",White,Gray,CVT,FWD
2018 Chevrolet Tahoe LS,Chevrolet,2018,"$37,977","32,537",Gray,Black,Automatic,4x4/4-wheel drive
2019 Cadillac XTS Premium Luxury,Cadillac,2019,"$38,886","18,356",White,Gray,Automatic,AWD
2017 Ford Expedition EL Limited,Ford,2017,"$31,974","42,559",Black,Black,Automatic,4x4/4-wheel drive
2013 Scion FR-S,Scion,2013,"$15,489","38,160",Gray,Black,Automatic,RWD
2014 GMC Acadia SLT-1,GMC,2014,"$14,999","82,593",Gray,Other,Automatic,AWD
2005 Hummer H2 SUT,Hummer,2005,"$35,890","48,430",Black,Black,Automatic,4x4/4-wheel drive
2018 Alfa Romeo Giulia Ti,Alfa,2018,"$29,989","14,506",Blue,Black,Automatic,AWD
2014 Chrysler 200 Limited,Chrysler,2014,"$5,999","104,049",Gray,Black,Automatic,FWD
2017 Toyota Highlander Hybrid XLE,Toyota,2017,"$31,800","36,402",Gray,Gray,CVT,AWD
2018 Toyota Sequoia Platinum,Toyota,2018,"$49,498","25,062",Black,Other,Automatic,4x4/4-wheel drive
2014 Nissan Sentra SL,Nissan,2014,"$6,999","110,430",Blue,Gray,CVT,FWD
2018 Toyota C-HR XLE,Toyota,2018,"$19,988","23,106",Blue,Black,CVT,FWD
2018 Dodge Journey Crossroad,Dodge,2018,"$17,590","29,625",Black,Black,Automatic,AWD
2017 BMW X5 M Base,BMW,2017,"$59,054","46,030",Black,Brown,Automatic,AWD
2017 Mercedes-Benz AMG GLA 45 Base 4MATIC,Mercedes-Benz,2017,"$41,135","21,616",Red,Black,Automatic,AWD
2008 GMC Envoy SLE,GMC,2008,"$6,595","87,874",Blue,Gray,Automatic,4x4/4-wheel drive
2014 Toyota Corolla LE,Toyota,2014,"$9,000","81,001",Green,Orange,CVT,FWD
2019 Dodge Grand Caravan SXT,Dodge,2019,"$18,998","24,705",Black,Black,Automatic,FWD
2016 Chevrolet Spark 1LT,Chevrolet,2016,"$8,499","59,983",Purple,Black,CVT,FWD
2019 Toyota RAV4 Hybrid Limited,Toyota,2019,"$32,000","21,025",Black,Gray,CVT,AWD
2019 Ford Flex Limited,Ford,2019,"$26,400","13,036",Black,Black,Automatic,AWD
2017 Lexus GS 350 F Sport,Lexus,2017,"$35,999","28,196",White,Red,Automatic,AWD
2019 Honda Civic Si Base,Honda,2019,"$21,999","2,814",Gray,Black,Manual,FWD
2017 Chrysler 300 Limited,Chrysler,2017,"$16,998","57,944",White,Black,Automatic,AWD
2017 Mercedes-Benz AMG GLC 43 Base 4MATIC,Mercedes-Benz,2017,"$39,890","22,727",White,Black,Automatic,AWD
2016 Jaguar XJ XJL Supercharged,Jaguar,2016,"$46,990","11,344",Gray,Other,Automatic,RWD
2009 Mitsubishi Eclipse GS,Mitsubishi,2009,"$4,995","96,711",Black,Other,Manual,FWD
2019 Volkswagen Atlas 3.6L SE w/Technology,Volkswagen,2019,"$30,532","19,893",Gray,Black,Automatic,AWD
2017 Ford Expedition Limited,Ford,2017,"$25,100","84,384",Black,Black,Automatic,4x4/4-wheel drive
2019 Dodge Journey Crossroad,Dodge,2019,"$19,424","31,645",White,Black,Automatic,AWD
2010 Volkswagen Routan SE,Volkswagen,2010,"$7,896","86,504",Blue,Other,Automatic,FWD
2016 Mazda CX-3 Sport,Mazda,2016,"$12,995","69,026",Silver,Black,Automatic,AWD
2016 Toyota Avalon XLE Premium,Toyota,2016,"$20,770","37,202",Red,Black,Automatic,FWD
2012 Land Rover Range Rover Sport HSE,Land,2012,"$21,950","61,765",White,Black,Automatic,4x4/4-wheel drive
2019 Toyota Highlander LE Plus,Toyota,2019,"$25,991","14,847",Silver,Black,Automatic,FWD
2020 GMC Terrain SLT,GMC,2020,"$23,899","15,207",Gray,Black,Automatic,AWD
2020 Cadillac XT6,Cadillac,2020,"$51,949","12,511",White,Other,Automatic,AWD
2017 Mazda Mazda3 Touring,Mazda,2017,"$14,500","29,534",White,Black,Automatic,FWD
2015 Cadillac SRX Luxury Collection,Cadillac,2015,"$17,729","51,082",Black,Black,Automatic,AWD
2019 Volkswagen Tiguan 2.0T S,Volkswagen,2019,"$18,991","10,871",Blue,Black,Automatic,AWD
2017 Dodge Grand Caravan SXT,Dodge,2017,"$13,995","56,267",White,Black,Automatic,FWD
2017 Nissan Altima 2.5 S,Nissan,2017,"$13,912","22,313",Gray,Gray,CVT,FWD
2018 Porsche Macan S,Porsche,2018,"$48,995","19,091",Black,Black,Automatic,AWD
2014 Audi Q5 3.0T Premium Plus,Audi,2014,"$17,495","79,323",Gray,Brown,Automatic,AWD
2001 Jeep Cherokee Police,Jeep,2001,"$9,990","97,601",Blue,Gray,Automatic,4x4/4-wheel drive
2015 Audi allroad 2.0T Premium Plus,Audi,2015,"$16,995","97,590",Black,Beige,Automatic,AWD
2008 Acura TL 3.2 w/Navigation,Acura,2008,"$7,495","82,308",Gray,Beige,Automatic,FWD
2008 Land Rover LR2 HSE,Land,2008,"$9,990","76,950",White,Beige,Automatic,4x4/4-wheel drive
2016 Jeep Grand Cherokee High Altitude,Jeep,2016,"$26,998","38,545",Silver,Black,Automatic,4x4/4-wheel drive
2016 Mercedes-Benz AMG E AMG E 63 S-Model 4MATIC,Mercedes-Benz,2016,"$55,900","15,459",Black,Other,Automatic,AWD
2008 Chevrolet Suburban 1500 LTZ,Chevrolet,2008,"$17,495","65,898",Brown,Black,Automatic,4x4/4-wheel drive
2016 Jeep Compass Sport,Jeep,2016,"$11,290","49,820",Black,Other,Automatic,4x4/4-wheel drive
2011 GMC Terrain SLT-1,GMC,2011,"$9,995","98,317",Gray,Gray,Automatic,AWD
2017 Audi A4 2.0T Premium,Audi,2017,"$21,900","18,879",Black,Brown,Automatic,AWD
2015 Mercedes-Benz CLA 250 4MATIC,Mercedes-Benz,2015,"$17,495","49,324",Red,Black,Automatic,AWD
2014 BMW 650 Gran Coupe i xDrive,BMW,2014,"$32,995","48,051",Silver,Black,Automatic,AWD
2015 Mercedes-Benz GLK 350 4MATIC,Mercedes-Benz,2015,"$19,495","61,288",Silver,Black,Automatic,AWD
2017 BMW 540 i xDrive,BMW,2017,"$35,793","20,061",Gray,Beige,Automatic,AWD
2016 BMW X4 xDrive28i,BMW,2016,"$23,995","69,054",White,Black,Automatic,AWD
2015 Nissan Titan PRO-4X,Nissan,2015,"$24,397","58,546",Gray,Gray,Automatic,4x4/4-wheel drive
2009 Nissan Altima Hybrid,Nissan,2009,"$5,998","89,186",Red,Gray,CVT,FWD
2016 BMW 528 i xDrive,BMW,2016,"$20,900","43,464",White,Black,Automatic,AWD
2018 Ford Explorer XLT,Ford,2018,"$28,597","33,603",Black,Black,Automatic,4x4/4-wheel drive
2016 Ford Flex Limited,Ford,2016,"$17,697","76,201",Black,Beige,Automatic,AWD
2018 Land Rover Discovery Sport SE,Land,2018,"$25,997","28,920",White,Other,Automatic,4x4/4-wheel drive
2009 Jeep Wrangler Unlimited Sahara,Jeep,2009,"$15,975","39,720",Red,Gray,Automatic,4x4/4-wheel drive
