Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2015 Maserati Ghibli Base,Maserati,2015,"$28,990","18,645",Blue,Black,Automatic,RWD
2017 BMW 330e iPerformance,BMW,2017,"$21,570","25,698",White,Black,Automatic,RWD
2019 Volvo XC40 T4 Momentum,Volvo,2019,"$34,990","25,276",Gray,Black,Automatic,FWD
2015 Toyota Venza XLE,Toyota,2015,"$17,990","61,120",Blue,Black,Automatic,AWD
2018 Chevrolet Silverado 2500 LTZ,Chevrolet,2018,"$38,850","17,000",Blue,Black,Automatic,4x4/4-wheel drive
2011 Volkswagen Jetta S,Volkswagen,2011,"$4,975","160,000",Black,Gray,Automatic,FWD
2017 Toyota Sienna SE,Toyota,2017,"$23,950","23,000",Red,Black,Automatic,FWD
2014 Jeep Cherokee Latitude,Jeep,2014,"$12,891","34,559",Red,Black,Automatic,FWD
2010 Cadillac Escalade ESV,Cadillac,2010,"$13,991","116,486",Gray,Black,Automatic,AWD
2015 Toyota Camry LE,Toyota,2015,"$12,799","22,949",White,Gray,Automatic,FWD
2003 Land Rover Discovery SE,Land,2003,"$12,990","99,783",Black,Black,Automatic,4x4/4-wheel drive
2016 Hyundai Elantra SE,Hyundai,2016,"$8,491","70,220",Silver,Gray,Automatic,FWD
2016 Subaru Legacy 2.5i,Subaru,2016,"$12,891","41,642",Gray,White,CVT,AWD
2019 Lexus NX 300,Lexus,2019,"$34,450","9,914",Black,Red,Automatic,FWD
2012 Ford Fusion SEL,Ford,2012,"$5,981","108,088",Black,Gray,Automatic,FWD
2020 Kia Optima LX,Kia,2020,"$15,897","16,855",Gray,Black,Automatic,FWD
2020 Kia Optima LX,Kia,2020,"$15,197","23,306",Gray,Black,Automatic,FWD
2015 Ford Focus SE,Ford,2015,"$8,981","29,532",Gray,Black,Automatic,FWD
2017 BMW 540 i xDrive,BMW,2017,"$39,995","21,843",Blue,Beige,Automatic,AWD
2020 Kia Sorento LX V6,Kia,2020,"$22,497","18,981",Gray,Black,Automatic,FWD
2019 Audi e-tron Prestige,Audi,2019,"$59,500","3,077",White,Black,Automatic,AWD
2019 Honda Pilot Elite,Honda,2019,"$36,995",18,Gray,Other,Automatic,AWD
2018 Honda Accord EX-L 2.0T,Honda,2018,"$23,995","23,081",Black,Other,Automatic,FWD
2013 Jeep Grand Cherokee Laredo,Jeep,2013,"$8,994","79,610",Blue,Black,Automatic,RWD
2016 Nissan Pathfinder S,Nissan,2016,"$13,479","67,830",White,Gray,CVT,4x4/4-wheel drive
2017 Honda Pilot EX-L,Honda,2017,"$25,995","24,168",Blue,Other,Automatic,FWD
2017 Honda Pilot EX-L,Honda,2017,"$25,986","37,630",Gray,Other,Automatic,FWD
2018 Chrysler Pacifica Limited,Chrysler,2018,"$24,900","43,952",Silver,Black,Automatic,FWD
2010 Audi S4 3.0 Prestige,Audi,2010,"$14,995","83,699",Gray,Other,Automatic,AWD
2017 Nissan Altima 2.5 SV,Nissan,2017,"$11,995","68,025",Gray,Gray,CVT,FWD
2017 Cadillac XT5 Luxury,Cadillac,2017,"$19,495","55,547",Black,Black,Automatic,FWD
2017 Ford Explorer XLT,Ford,2017,"$23,490","36,421",White,Black,Automatic,4x4/4-wheel drive
2017 Kia Forte LX,Kia,2017,"$11,688","21,552",Gray,Black,Automatic,FWD
2016 Dodge Grand Caravan AVP/SE,Dodge,2016,"$10,988","81,674",Blue,Black,Automatic,FWD
2016 Ford Explorer XLT,Ford,2016,"$21,200","30,660",Gray,Black,Automatic,FWD
2018 BMW 430 i,BMW,2018,"$26,070","14,750",Gray,Black,Automatic,RWD
2016 Cadillac ATS 2.0L Turbo Luxury,Cadillac,2016,"$17,690","41,548",Gray,Black,Automatic,RWD
2019 Chevrolet Impala 1LT,Chevrolet,2019,"$15,790","32,961",White,Black,Automatic,FWD
2018 Chrysler Pacifica Limited,Chrysler,2018,"$21,495","47,437",Blue,Black,Automatic,FWD
2018 Nissan Sentra S,Nissan,2018,"$10,395","44,351",Silver,Gray,CVT,FWD
2014 Nissan Pathfinder S,Nissan,2014,"$12,781","63,795",White,Gray,CVT,FWD
2016 Lexus IS 200t Base,Lexus,2016,"$18,889","30,101",Gray,Beige,Automatic,RWD
2018 Toyota RAV4 LE,Toyota,2018,"$15,993","45,575",White,Black,Automatic,FWD
2019 Ford Fusion Hybrid SEL,Ford,2019,"$15,391","39,054",Blue,Gray,CVT,FWD
2020 Chevrolet Traverse LT Leather,Chevrolet,2020,"$31,898","21,898",White,Black,Automatic,FWD
2020 Lexus NX 300 Base,Lexus,2020,"$39,949","4,431",Black,Other,Automatic,FWD
2017 Lexus ES 350 Base,Lexus,2017,"$23,879","34,467",Black,Black,Automatic,FWD
2019 Chevrolet Tahoe LT,Chevrolet,2019,"$34,809","37,736",Black,Black,Automatic,RWD
2019 Ford Taurus Limited,Ford,2019,"$18,991","26,784",Silver,Black,Automatic,FWD
2018 Jeep Renegade Sport,Jeep,2018,"$13,984","9,334",Orange,Black,Manual,4x4/4-wheel drive
2018 GMC Savana 2500 Work Van,GMC,2018,"$46,995","6,730",Silver,Gray,Automatic,RWD
2017 Acura RDX,Acura,2017,"$23,297","50,978",Silver,Other,Automatic,FWD
2020 Audi Q3 45 S line Premium,Audi,2020,"$33,991","10,000",White,Beige,Automatic,AWD
2017 GMC Terrain SLE-1,GMC,2017,"$13,995","57,857",White,Other,Automatic,FWD
2006 Lexus LS 430,Lexus,2006,"$8,995","196,464",Black,Black,Automatic,RWD
2015 Hyundai Sonata SE,Hyundai,2015,"$8,995","101,886",Brown,Beige,Automatic,FWD
2019 Mercedes-Benz CLA 250 Base,Mercedes-Benz,2019,"$27,996","11,005",Black,Black,Automatic,FWD
2018 Ford Expedition XLT,Ford,2018,"$36,495","22,548",Black,Black,Automatic,RWD
2016 Ford Explorer Limited,Ford,2016,"$19,988","63,097",Gray,Black,Automatic,FWD
2012 Audi A8,Audi,2012,"$18,983","84,956",White,Brown,Automatic,AWD
2019 INFINITI QX60 Pure,INFINITI,2019,"$26,990","27,340",Blue,Gray,CVT,AWD
2013 Hyundai Elantra GLS,Hyundai,2013,"$9,788","63,468",Silver,Gray,Automatic,FWD
2015 Toyota Yaris L,Toyota,2015,"$9,988","50,845",Silver,Black,Automatic,FWD
2019 Buick Regal Sportback Essence,Buick,2019,"$21,878","20,548",Red,Gray,Automatic,FWD
2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,Volkswagen,2014,"$12,900","47,446",Black,Beige,Automatic,FWD
2016 Dodge Charger R/T,Dodge,2016,"$24,988","29,889",Black,Black,Automatic,RWD
2018 GMC Acadia SLE-1,GMC,2018,"$21,981","28,549",Black,Black,Automatic,FWD
2016 Honda Pilot EX-L,Honda,2016,"$19,990","66,136",Gray,Other,Automatic,FWD
2017 GMC Terrain SLT,GMC,2017,"$18,388","56,813",White,Brown,Automatic,FWD
2015 Cadillac SRX Premium Collection,Cadillac,2015,"$17,899","68,116",White,Brown,Automatic,FWD
2018 Volvo XC90 T6 Inscription,Volvo,2018,"$44,988","28,365",White,Other,Automatic,AWD
2019 GMC Sierra 1500 Limited Base,GMC,2019,"$31,588",879,Black,Gray,Automatic,RWD
2008 Lexus LS 460 Base,Lexus,2008,"$12,995","70,870",Black,Other,Automatic,RWD
2018 Nissan 370Z Base,Nissan,2018,"$21,887","14,213",Black,Other,Automatic,RWD
2017 Ford Focus SE,Ford,2017,"$8,995","38,206",Red,Other,Automatic,FWD
2016 Volkswagen Jetta 1.4T S w/Technology,Volkswagen,2016,"$9,495","42,320",White,Black,Automatic,FWD
2019 Nissan Kicks SV,Nissan,2019,"$16,980","5,887",White,Gray,CVT,FWD
2017 Toyota Highlander LE Plus,Toyota,2017,"$20,499","59,647",Gray,Black,Automatic,FWD
2016 Ford Explorer XLT,Ford,2016,"$19,991","47,606",White,Brown,Automatic,FWD
2018 Nissan Sentra S,Nissan,2018,"$10,991","36,821",White,Gray,CVT,FWD
2012 Ford E150,Ford,2012,"$18,998","5,548",White,Gray,Automatic,RWD
2017 GMC Acadia SLE-1,GMC,2017,"$16,992","32,278",Red,Gray,Automatic,FWD
2010 Nissan Xterra X,Nissan,2010,"$7,499","118,087",Black,Gray,Automatic,RWD
2019 Ford Explorer Limited,Ford,2019,"$26,991","27,068",Silver,Black,Automatic,FWD
2014 Ford Expedition EL Limited,Ford,2014,"$18,999","79,001",Red,Black,Automatic,RWD
2019 Toyota Highlander LE I4,Toyota,2019,"$26,572","22,789",Black,Beige,Automatic,FWD
2020 INFINITI QX60 Luxe,INFINITI,2020,"$36,498","14,113",Blue,Beige,CVT,FWD
2018 Ford Fusion Titanium,Ford,2018,"$16,588","42,293",Black,Gray,Automatic,AWD
2018 Nissan Rogue SV,Nissan,2018,"$13,900","47,750",Gray,Gray,CVT,FWD
2017 Chrysler Pacifica Limited,Chrysler,2017,"$26,991","26,826",Gray,Black,Automatic,FWD
2011 Buick LaCrosse CX,Buick,2011,"$8,500","124,877",Silver,Beige,Automatic,FWD
2019 Nissan Kicks SR,Nissan,2019,"$18,991","8,560",Black,Gray,CVT,FWD
2012 Hyundai Genesis Coupe 3.8 Track,Hyundai,2012,"$13,000","39,000",Black,Black,Automatic,RWD
2019 Lexus ES 350 Premium,Lexus,2019,"$36,692","11,613",Black,Beige,Automatic,FWD
2017 Audi Q7 3.0T Prestige,Audi,2017,"$38,981","33,416",White,Brown,Automatic,AWD
2016 Volkswagen Golf TSI S 4-Door,Volkswagen,2016,"$14,199","12,388",Blue,Black,Automatic,FWD
2018 Toyota Camry LE,Toyota,2018,"$15,691","46,486",White,Gray,Automatic,FWD
2018 Nissan Altima 2.5 SL,Nissan,2018,"$15,994","20,412",Blue,Gray,CVT,FWD
2015 Chevrolet Colorado Z71,Chevrolet,2015,"$20,900","107,063",Black,Black,Automatic,RWD
2018 Nissan Leaf SV,Nissan,2018,"$20,590","23,361",Black,Black,Automatic,FWD
2017 Ford Expedition King Ranch,Ford,2017,"$36,425","36,291",Black,Beige,Automatic,RWD
2017 BMW 440 Gran Coupe i,BMW,2017,"$29,990","23,891",Black,Black,Automatic,RWD
2018 Nissan Leaf SV,Nissan,2018,"$21,990","22,857",White,Black,Automatic,FWD
2017 Mercedes-Benz AMG E 43 Base 4MATIC,Mercedes-Benz,2017,"$48,000","26,470",Black,Black,Automatic,AWD
2015 Maserati Ghibli Base,Maserati,2015,"$25,990","48,153",Silver,Brown,Automatic,RWD
2015 Nissan Versa 1.6 S,Nissan,2015,"$9,990","45,075",Black,Gray,Manual,FWD
2018 BMW X5 eDrive xDrive40e,BMW,2018,"$44,900","14,080",Black,Black,Automatic,AWD
2015 INFINITI Q60 Journey,INFINITI,2015,"$20,990","32,846",Gray,Black,Automatic,RWD
2018 Jeep Renegade Latitude,Jeep,2018,"$15,491","29,462",Black,Black,Automatic,4x4/4-wheel drive
2016 Acura MDX 3.5L,Acura,2016,"$26,995","10,679",White,Other,Automatic,FWD
2013 Nissan Juke SL,Nissan,2013,"$6,975","91,000",Black,Black,Automatic,FWD
2018 GMC Terrain Denali,GMC,2018,"$22,850","39,000",Black,Black,Other / Unknown,FWD
2012 Honda Civic EX,Honda,2012,"$9,191","82,617",Black,Gray,Automatic,FWD
2011 INFINITI QX56 Base,INFINITI,2011,"$17,750","86,228",Black,Gray,Automatic,RWD
2016 Jeep Cherokee Latitude,Jeep,2016,"$14,591","50,543",Gray,Black,Automatic,4x4/4-wheel drive
2018 Nissan Versa 1.6 SV,Nissan,2018,"$10,091","43,147",Gray,Gray,Automatic,FWD
2012 FIAT 500 Pop,FIAT,2012,"$4,291","93,682",Black,Beige,Manual,FWD
2009 BMW 750 Li,BMW,2009,"$7,991","149,335",Gray,Black,Automatic,RWD
2019 Toyota RAV4 XLE,Toyota,2019,"$25,995","2,444",Green,Gray,Automatic,FWD
2012 BMW 650 i,BMW,2012,"$20,648","61,109",White,Red,Automatic,RWD
2018 Cadillac ATS 3.6L Premium Luxury,Cadillac,2018,"$24,299","19,489",Silver,Black,Automatic,RWD
2016 Land Rover Range Rover,Land,2016,"$48,599","34,846",Black,Black,Automatic,4x4/4-wheel drive
2017 BMW X3 sDrive28i,BMW,2017,"$21,799","47,104",Gray,Black,Automatic,RWD
2015 Volkswagen Jetta 2.0L TDI SE w/Connectivity,Volkswagen,2015,"$9,600","46,697",Silver,Black,Automatic,FWD
2012 Audi A5 2.0T Premium quattro,Audi,2012,"$11,995","94,842",Gray,Other,Automatic,AWD
2012 Dodge Challenger SXT,Dodge,2012,"$13,994","81,349",Black,Gray,Automatic,RWD
2015 Buick Encore Convenience,Buick,2015,"$12,994","65,190",Red,Other,Automatic,FWD
2006 Hyundai Santa Fe GLS,Hyundai,2006,"$2,995","159,373",Black,Other,Automatic,FWD
2016 Nissan Murano S,Nissan,2016,"$14,995","51,029",Black,Black,CVT,FWD
2010 Lincoln MKX,Lincoln,2010,"$7,995","119,223",Red,Gray,Automatic,FWD
2013 Ford Edge SE,Ford,2013,"$11,991","73,342",Blue,Other,Automatic,FWD
2017 Ford Edge SEL,Ford,2017,"$20,360","20,713",Gray,Black,Automatic,AWD
2016 Chevrolet Malibu LS,Chevrolet,2016,"$12,495","40,080",White,Black,Automatic,FWD
2014 Nissan Juke SV,Nissan,2014,"$7,995","106,444",Gray,Black,CVT,FWD
2014 BMW 750 Li xDrive,BMW,2014,"$21,495","71,135",Blue,White,Automatic,AWD
2016 Hyundai Tucson SE,Hyundai,2016,"$15,200","17,694",Silver,Gray,Automatic,AWD
2019 Nissan Pathfinder Platinum,Nissan,2019,"$28,988","15,794",Gray,Gray,CVT,FWD
2018 Nissan Murano SV,Nissan,2018,"$17,797","49,169",Silver,Other,CVT,FWD
2016 Dodge Grand Caravan SXT,Dodge,2016,"$16,495","64,962",White,Other,Automatic,FWD
2016 Chrysler 200 Limited,Chrysler,2016,"$13,995","82,318",Black,Other,Automatic,FWD
2019 Hyundai Santa Fe SE 2.4,Hyundai,2019,"$17,769","21,579",Silver,Black,Automatic,FWD
2019 Kia Optima LX,Kia,2019,"$13,989","22,478",Black,Black,Automatic,FWD
2016 Chevrolet Malibu 1LT,Chevrolet,2016,"$14,769","22,005",Red,Black,Automatic,FWD
2016 Honda Odyssey Touring Elite,Honda,2016,"$26,991","33,618",White,Beige,Automatic,FWD
2019 Volkswagen Passat 2.0T Wolfsburg Edition,Volkswagen,2019,"$15,991","31,538",Black,Beige,Automatic,FWD
2016 Chevrolet Suburban LTZ,Chevrolet,2016,"$39,991","34,438",Other,Other,Automatic,4x4/4-wheel drive
2019 Audi A4 2.0T Premium,Audi,2019,"$27,299","6,451",Gray,Black,Automatic,FWD
2017 Ford Expedition Limited,Ford,2017,"$34,330","25,982",Red,Black,Automatic,RWD
2016 INFINITI Q50 3.0T Premium,INFINITI,2016,"$22,984","7,726",Gray,Gray,Automatic,AWD
2017 Ford Fusion SE,Ford,2017,"$11,995","50,398",Black,Black,Automatic,FWD
2011 Lexus GX 460 Premium,Lexus,2011,"$17,000","99,373",Black,Beige,Automatic,4x4/4-wheel drive
2012 FIAT 500 Pop,FIAT,2012,"$6,250","72,818",White,Black,Automatic,FWD
2016 Land Rover Range Rover Sport 3.0L Turbocharged Diesel HSE Td6,Land,2016,"$35,995","60,158",White,Black,Automatic,4x4/4-wheel drive
2019 Ford Explorer Sport,Ford,2019,"$34,982","17,500",Black,Gray,Automatic,4x4/4-wheel drive
2018 Mazda Mazda6 Grand Touring,Mazda,2018,"$22,653","6,968",Red,Beige,Automatic,FWD
2019 GMC Yukon XL SLT,GMC,2019,"$40,584","31,299",Silver,Beige,Automatic,4x4/4-wheel drive
2019 Ford Expedition XLT,Ford,2019,"$40,595","28,799",White,Black,Automatic,4x4/4-wheel drive
2019 Toyota C-HR XLE,Toyota,2019,"$17,995","21,663",Silver,Black,CVT,FWD
2018 Kia Soul +,Kia,2018,"$12,495","42,561",Silver,Black,Automatic,FWD
2016 Ford Fusion SE,Ford,2016,"$9,780","78,049",Silver,Black,Automatic,FWD
2016 Jeep Cherokee Altitude,Jeep,2016,"$15,350","24,125",Black,Black,Automatic,FWD
2012 BMW 528 i,BMW,2012,"$10,995","64,030",Black,Black,Automatic,RWD
2019 GMC Acadia SLE-2,GMC,2019,"$21,599","26,683",White,Gray,Automatic,FWD
2017 Chevrolet Tahoe LT,Chevrolet,2017,"$34,798","54,069",White,Brown,Automatic,4x4/4-wheel drive
2015 Mercedes-Benz GL 450 4MATIC,Mercedes-Benz,2015,"$22,995","73,226",Black,Other,Automatic,AWD
2017 Acura MDX 3.5L w/Advance & Entertainment Pkgs,Acura,2017,"$32,388","34,513",Brown,Other,Automatic,AWD
